phase,t_s,wind_est_north,wind_est_east,accel_n_m_s2,accel_e_m_s2,actual_north_m,actual_east_m,pos_error_m,roll_deg,pitch_deg
correction_off,0.00,0.00,0.00,0.000,0.000,-29.104,149.754,0.035,-0.30,-0.15
correction_off,0.05,0.00,0.00,0.000,0.000,-29.104,149.754,0.035,-0.30,-0.16
correction_off,0.10,0.00,0.00,0.000,0.000,-29.104,149.755,0.035,-0.30,-0.18
correction_off,0.15,0.00,0.00,0.000,0.000,-29.104,149.755,0.035,-0.30,-0.21
correction_off,0.20,0.00,0.00,0.000,0.000,-29.104,149.757,0.033,-0.30,-0.22
correction_off,0.25,0.00,0.00,0.000,0.000,-29.103,149.758,0.032,-0.29,-0.22
correction_off,0.30,0.00,0.00,0.000,0.000,-29.102,149.761,0.029,-0.28,-0.20
correction_off,0.35,0.00,0.00,0.000,0.000,-29.101,149.764,0.026,-0.26,-0.15
correction_off,0.40,0.00,0.00,0.000,0.000,-29.100,149.771,0.020,-0.23,-0.07
correction_off,0.45,0.00,0.00,0.000,0.000,-29.098,149.774,0.017,-0.19,0.03
correction_off,0.50,0.00,0.00,0.000,0.000,-29.096,149.783,0.011,-0.14,0.17
correction_off,0.55,0.00,0.00,0.000,0.000,-29.094,149.789,0.011,-0.09,0.33
correction_off,0.60,0.00,0.00,0.000,0.000,-29.091,149.801,0.017,-0.02,0.52
correction_off,0.65,0.00,0.00,0.000,0.000,-29.089,149.807,0.023,0.05,0.71
correction_off,0.70,0.00,0.00,0.000,0.000,-29.085,149.820,0.035,0.14,0.94
correction_off,0.75,0.00,0.00,0.000,0.000,-29.082,149.828,0.044,0.22,1.17
correction_off,0.80,0.00,0.00,0.000,0.000,-29.078,149.843,0.059,0.32,1.42
correction_off,0.85,0.00,0.00,0.000,0.000,-29.076,149.851,0.067,0.42,1.66
correction_off,0.90,0.00,0.00,0.000,0.000,-29.071,149.867,0.084,0.52,1.92
correction_off,0.95,0.00,0.00,0.000,0.000,-29.069,149.878,0.095,0.62,2.17
correction_off,1.00,0.00,0.00,0.000,0.000,-29.064,149.896,0.113,0.73,2.44
correction_off,1.05,0.00,0.00,0.000,0.000,-29.061,149.905,0.123,0.83,2.68
correction_off,1.10,0.00,0.00,0.000,0.000,-29.056,149.924,0.143,0.94,2.94
correction_off,1.15,0.00,0.00,0.000,0.000,-29.053,149.936,0.155,1.04,3.18
correction_off,1.20,0.00,0.00,0.000,0.000,-29.048,149.956,0.176,1.15,3.43
correction_off,1.25,0.00,0.00,0.000,0.000,-29.045,149.966,0.186,1.25,3.66
correction_off,1.30,0.00,0.00,0.000,0.000,-29.039,149.986,0.207,1.36,3.90
correction_off,1.35,0.00,0.00,0.000,0.000,-29.035,149.999,0.220,1.45,4.12
correction_off,1.40,0.00,0.00,0.000,0.000,-29.029,150.019,0.241,1.56,4.34
correction_off,1.45,0.00,0.00,0.000,0.000,-29.025,150.029,0.252,1.66,4.54
correction_off,1.50,0.00,0.00,0.000,0.000,-29.018,150.048,0.272,1.76,4.74
correction_off,1.55,0.00,0.00,0.000,0.000,-29.014,150.060,0.285,1.86,4.92
correction_off,1.60,0.00,0.00,0.000,0.000,-29.006,150.078,0.304,1.96,5.10
correction_off,1.65,0.00,0.00,0.000,0.000,-29.003,150.087,0.313,2.06,5.25
correction_off,1.70,0.00,0.00,0.000,0.000,-28.995,150.103,0.332,2.17,5.40
correction_off,1.75,0.00,0.00,0.000,0.000,-28.990,150.113,0.342,2.26,5.53
correction_off,1.80,0.00,0.00,0.000,0.000,-28.982,150.128,0.358,2.36,5.65
correction_off,1.85,0.00,0.00,0.000,0.000,-28.978,150.134,0.366,2.46,5.75
correction_off,1.90,0.00,0.00,0.000,0.000,-28.970,150.147,0.381,2.56,5.84
correction_off,1.95,0.00,0.00,0.000,0.000,-28.964,150.155,0.389,2.65,5.92
correction_off,2.00,0.00,0.00,0.000,0.000,-28.956,150.165,0.402,2.74,5.98
correction_off,2.05,0.00,0.00,0.000,0.000,-28.952,150.170,0.408,2.82,6.03
correction_off,2.10,0.00,0.00,0.000,0.000,-28.943,150.179,0.419,2.91,6.07
correction_off,2.15,0.00,0.00,0.000,0.000,-28.938,150.183,0.425,2.98,6.10
correction_off,2.20,0.00,0.00,0.000,0.000,-28.930,150.190,0.435,3.06,6.12
correction_off,2.25,0.00,0.00,0.000,0.000,-28.926,150.193,0.439,3.13,6.12
correction_off,2.30,0.00,0.00,0.000,0.000,-28.917,150.198,0.446,3.21,6.12
correction_off,2.35,0.00,0.00,0.000,0.000,-28.912,150.200,0.450,3.27,6.12
correction_off,2.40,0.00,0.00,0.000,0.000,-28.905,150.203,0.456,3.34,6.10
correction_off,2.45,0.00,0.00,0.000,0.000,-28.901,150.204,0.458,3.40,6.08
correction_off,2.50,0.00,0.00,0.000,0.000,-28.893,150.205,0.462,3.46,6.05
correction_off,2.55,0.00,0.00,0.000,0.000,-28.889,150.205,0.464,3.51,6.02
correction_off,2.60,0.00,0.00,0.000,0.000,-28.882,150.204,0.466,3.56,5.97
correction_off,2.65,0.00,0.00,0.000,0.000,-28.878,150.204,0.467,3.59,5.93
correction_off,2.70,0.00,0.00,0.000,0.000,-28.872,150.201,0.468,3.63,5.88
correction_off,2.75,0.00,0.00,0.000,0.000,-28.868,150.200,0.469,3.67,5.83
correction_off,2.80,0.00,0.00,0.000,0.000,-28.861,150.196,0.468,3.70,5.77
correction_off,2.85,0.00,0.00,0.000,0.000,-28.858,150.193,0.468,3.72,5.72
correction_off,2.90,0.00,0.00,0.000,0.000,-28.852,150.188,0.467,3.75,5.65
correction_off,2.95,0.00,0.00,0.000,0.000,-28.848,150.185,0.466,3.77,5.59
correction_off,3.00,0.00,0.00,0.000,0.000,-28.841,150.179,0.464,3.80,5.53
correction_off,3.05,0.00,0.00,0.000,0.000,-28.838,150.175,0.462,3.83,5.46
correction_off,3.10,0.00,0.00,0.000,0.000,-28.832,150.168,0.460,3.86,5.39
correction_off,3.15,0.00,0.00,0.000,0.000,-28.828,150.164,0.458,3.89,5.33
correction_off,3.20,0.00,0.00,0.000,0.000,-28.823,150.156,0.455,3.92,5.26
correction_off,3.25,0.00,0.00,0.000,0.000,-28.821,150.153,0.453,3.95,5.20
correction_off,3.30,0.00,0.00,0.000,0.000,-28.816,150.145,0.449,3.97,5.14
correction_off,3.35,0.00,0.00,0.000,0.000,-28.814,150.140,0.447,3.99,5.09
correction_off,3.40,0.00,0.00,0.000,0.000,-28.811,150.132,0.443,4.01,5.03
correction_off,3.45,0.00,0.00,0.000,0.000,-28.809,150.128,0.440,4.02,4.98
correction_off,3.50,0.00,0.00,0.000,0.000,-28.808,150.120,0.435,4.03,4.93
correction_off,3.55,0.00,0.00,0.000,0.000,-28.807,150.115,0.432,4.04,4.89
correction_off,3.60,0.00,0.00,0.000,0.000,-28.807,150.107,0.426,4.03,4.85
correction_off,3.65,0.00,0.00,0.000,0.000,-28.807,150.103,0.423,4.03,4.81
correction_off,3.70,0.00,0.00,0.000,0.000,-28.809,150.096,0.416,4.01,4.78
correction_off,3.75,0.00,0.00,0.000,0.000,-28.810,150.091,0.412,3.99,4.75
correction_off,3.80,0.00,0.00,0.000,0.000,-28.812,150.084,0.405,3.96,4.72
correction_off,3.85,0.00,0.00,0.000,0.000,-28.814,150.080,0.401,3.92,4.70
correction_off,3.90,0.00,0.00,0.000,0.000,-28.817,150.073,0.394,3.88,4.68
correction_off,3.95,0.00,0.00,0.000,0.000,-28.820,150.068,0.389,3.84,4.67
correction_off,4.00,0.00,0.00,0.000,0.000,-28.824,150.061,0.381,3.79,4.65
correction_off,4.05,0.00,0.00,0.000,0.000,-28.826,150.058,0.376,3.75,4.64
correction_off,4.10,0.00,0.00,0.000,0.000,-28.831,150.051,0.368,3.70,4.63
correction_off,4.15,0.00,0.00,0.000,0.000,-28.834,150.047,0.363,3.66,4.62
correction_off,4.20,0.00,0.00,0.000,0.000,-28.839,150.040,0.355,3.61,4.61
correction_off,4.25,0.00,0.00,0.000,0.000,-28.842,150.037,0.351,3.57,4.60
correction_off,4.30,0.00,0.00,0.000,0.000,-28.848,150.031,0.342,3.53,4.59
correction_off,4.35,0.00,0.00,0.000,0.000,-28.852,150.028,0.337,3.49,4.59
correction_off,4.40,0.00,0.00,0.000,0.000,-28.858,150.023,0.329,3.45,4.59
correction_off,4.45,0.00,0.00,0.000,0.000,-28.861,150.021,0.325,3.42,4.59
correction_off,4.50,0.00,0.00,0.000,0.000,-28.867,150.016,0.318,3.38,4.59
correction_off,4.55,0.00,0.00,0.000,0.000,-28.871,150.013,0.313,3.34,4.60
correction_off,4.60,0.00,0.00,0.000,0.000,-28.876,150.009,0.307,3.31,4.61
correction_off,4.65,0.00,0.00,0.000,0.000,-28.879,150.007,0.303,3.29,4.62
correction_off,4.70,0.00,0.00,0.000,0.000,-28.879,150.007,0.303,3.29,4.62
correction_off,4.75,0.00,0.00,0.000,0.000,-28.890,149.999,0.290,3.25,4.66
correction_off,4.80,0.00,0.00,0.000,0.000,-28.893,149.997,0.286,3.23,4.67
correction_off,4.85,0.00,0.00,0.000,0.000,-28.898,149.993,0.280,3.22,4.69
correction_off,4.90,0.00,0.00,0.000,0.000,-28.900,149.991,0.277,3.21,4.70
correction_off,4.95,0.00,0.00,0.000,0.000,-28.906,149.987,0.271,3.20,4.71
correction_off,5.00,0.00,0.00,0.000,0.000,-28.908,149.985,0.268,3.20,4.73
correction_off,5.05,0.00,0.00,0.000,0.000,-28.912,149.981,0.262,3.19,4.74
correction_off,5.10,0.00,0.00,0.000,0.000,-28.914,149.979,0.259,3.19,4.74
correction_off,5.15,0.00,0.00,0.000,0.000,-28.918,149.975,0.253,3.19,4.75
correction_off,5.20,0.00,0.00,0.000,0.000,-28.920,149.973,0.251,3.20,4.75
correction_off,5.25,0.00,0.00,0.000,0.000,-28.925,149.970,0.245,3.20,4.75
correction_off,5.30,0.00,0.00,0.000,0.000,-28.927,149.968,0.242,3.21,4.76
correction_off,5.35,0.00,0.00,0.000,0.000,-28.931,149.963,0.236,3.21,4.75
