wind_label,phase,t_s,true_wind_north_m_s,true_wind_east_m_s,wind_est_north,wind_est_east,accel_n_m_s2,accel_e_m_s2,actual_north_m,actual_east_m,pos_error_m,roll_deg,pitch_deg
default_gust,correction_off,0.00,2.000,5.000,0.00,0.00,0.000,0.000,0.039,0.283,0.275,1.45,3.99
default_gust,correction_off,0.05,2.063,5.157,0.00,0.00,0.000,0.000,0.039,0.283,0.275,1.45,3.99
default_gust,correction_off,0.10,2.125,5.314,0.00,0.00,0.000,0.000,0.041,0.285,0.277,1.47,3.98
default_gust,correction_off,0.15,2.188,5.469,0.00,0.00,0.000,0.000,0.041,0.285,0.278,1.48,3.96
default_gust,correction_off,0.20,2.249,5.624,0.00,0.00,0.000,0.000,0.043,0.286,0.279,1.50,3.95
default_gust,correction_off,0.25,2.311,5.776,0.00,0.00,0.000,0.000,0.043,0.286,0.280,1.51,3.93
default_gust,correction_off,0.30,2.371,5.927,0.00,0.00,0.000,0.000,0.044,0.286,0.279,1.51,3.91
default_gust,correction_off,0.35,2.430,6.075,0.00,0.00,0.000,0.000,0.045,0.285,0.279,1.52,3.89
default_gust,correction_off,0.40,2.488,6.220,0.00,0.00,0.000,0.000,0.045,0.283,0.277,1.52,3.86
default_gust,correction_off,0.45,2.545,6.362,0.00,0.00,0.000,0.000,0.045,0.282,0.276,1.53,3.84
default_gust,correction_off,0.50,2.600,6.500,0.00,0.00,0.000,0.000,0.044,0.280,0.274,1.52,3.80
default_gust,correction_off,0.55,2.654,6.634,0.00,0.00,0.000,0.000,0.043,0.279,0.272,1.52,3.77
default_gust,correction_off,0.60,2.705,6.763,0.00,0.00,0.000,0.000,0.042,0.276,0.269,1.51,3.74
default_gust,correction_off,0.65,2.755,6.888,0.00,0.00,0.000,0.000,0.041,0.274,0.268,1.49,3.71
default_gust,correction_off,0.70,2.803,7.007,0.00,0.00,0.000,0.000,0.039,0.272,0.264,1.47,3.67
default_gust,correction_off,0.75,2.849,7.121,0.00,0.00,0.000,0.000,0.038,0.270,0.263,1.45,3.64
default_gust,correction_off,0.80,2.892,7.229,0.00,0.00,0.000,0.000,0.035,0.267,0.259,1.43,3.62
default_gust,correction_off,0.85,2.933,7.331,0.00,0.00,0.000,0.000,0.034,0.265,0.257,1.41,3.59
default_gust,correction_off,0.90,2.971,7.427,0.00,0.00,0.000,0.000,0.031,0.261,0.252,1.38,3.57
default_gust,correction_off,0.95,3.006,7.516,0.00,0.00,0.000,0.000,0.029,0.260,0.250,1.35,3.55
default_gust,correction_off,1.00,3.039,7.598,0.00,0.00,0.000,0.000,0.079,0.259,0.266,2.61,5.32
default_gust,correction_off,1.05,3.069,7.673,0.00,0.00,0.000,0.000,0.079,0.259,0.266,2.61,5.32
default_gust,correction_off,1.10,3.096,7.741,0.00,0.00,0.000,0.000,0.078,0.260,0.266,2.60,5.34
default_gust,correction_off,1.15,3.120,7.801,0.00,0.00,0.000,0.000,0.076,0.261,0.267,2.59,5.36
default_gust,correction_off,1.20,3.141,7.853,0.00,0.00,0.000,0.000,0.076,0.261,0.267,2.58,5.37
default_gust,correction_off,1.25,3.159,7.898,0.00,0.00,0.000,0.000,0.074,0.261,0.266,2.58,5.38
default_gust,correction_off,1.30,3.174,7.934,0.00,0.00,0.000,0.000,0.074,0.261,0.266,2.58,5.39
default_gust,correction_off,1.35,3.185,7.963,0.00,0.00,0.000,0.000,0.074,0.261,0.266,2.58,5.38
default_gust,correction_off,1.40,3.193,7.984,0.00,0.00,0.000,0.000,0.073,0.261,0.266,2.59,5.38
default_gust,correction_off,1.45,3.198,7.996,0.00,0.00,0.000,0.000,0.073,0.260,0.264,2.61,5.37
default_gust,correction_off,1.50,3.200,8.000,0.00,0.00,0.000,0.000,0.073,0.259,0.264,2.62,5.36
default_gust,correction_off,1.55,3.198,7.996,0.00,0.00,0.000,0.000,0.073,0.257,0.262,2.64,5.34
default_gust,correction_off,1.60,3.193,7.984,0.00,0.00,0.000,0.000,0.072,0.256,0.261,2.66,5.32
default_gust,correction_off,1.65,3.185,7.963,0.00,0.00,0.000,0.000,0.072,0.254,0.259,2.68,5.30
default_gust,correction_off,1.70,3.174,7.934,0.00,0.00,0.000,0.000,0.072,0.253,0.258,2.69,5.28
