wind_label,phase,t_s,tau_x,tau_y,tau_z,tauff_x,tauff_y,tauff_z,roll_deg,pitch_deg,wx_rad_s,wy_rad_s
strong,rot_off,0.00,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.916,6.307,0.0055,-0.0074
strong,rot_off,0.05,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.936,6.282,0.0028,-0.0109
strong,rot_off,0.10,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.949,6.248,0.0022,-0.0127
strong,rot_off,0.15,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.962,6.209,0.0013,-0.0151
strong,rot_off,0.20,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.968,6.166,-0.0009,-0.0184
strong,rot_off,0.25,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.972,6.115,-0.0024,-0.0172
strong,rot_off,0.30,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.973,6.066,-0.0034,-0.0173
strong,rot_off,0.35,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.974,6.023,-0.0031,-0.0186
strong,rot_off,0.40,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.973,5.959,-0.0034,-0.0174
strong,rot_off,0.45,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.972,5.906,-0.0040,-0.0176
strong,rot_off,0.50,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.971,5.857,-0.0035,-0.0159
strong,rot_off,0.55,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.970,5.821,-0.0048,-0.0141
strong,rot_off,0.60,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.966,5.771,-0.0061,-0.0121
strong,rot_off,0.65,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.963,5.742,-0.0057,-0.0109
strong,rot_off,0.70,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.958,5.703,-0.0055,-0.0090
strong,rot_off,0.75,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.956,5.679,-0.0050,-0.0083
strong,rot_off,0.80,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.953,5.649,-0.0057,-0.0057
strong,rot_off,0.85,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.951,5.632,-0.0040,-0.0054
strong,rot_off,0.90,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.951,5.611,-0.0038,-0.0035
strong,rot_off,0.95,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.952,5.596,-0.0027,-0.0027
strong,rot_off,1.00,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.957,5.587,-0.0017,-0.0021
strong,rot_off,1.05,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.964,5.580,-0.0007,-0.0011
strong,rot_off,1.10,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.977,5.572,0.0005,-0.0023
strong,rot_off,1.15,0.0000,0.0000,0.0000,0.000,0.000,0.000,1.988,5.566,0.0022,-0.0002
strong,rot_off,1.20,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.006,5.557,0.0026,-0.0008
strong,rot_off,1.25,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.021,5.549,0.0031,-0.0017
strong,rot_off,1.30,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.046,5.537,0.0046,-0.0028
strong,rot_off,1.35,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.065,5.527,0.0046,-0.0038
strong,rot_off,1.40,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.092,5.511,0.0055,-0.0041
strong,rot_off,1.45,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.118,5.495,0.0058,-0.0051
strong,rot_off,1.50,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.143,5.478,0.0057,-0.0058
strong,rot_off,1.55,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.163,5.462,0.0056,-0.0065
strong,rot_off,1.60,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.194,5.436,0.0065,-0.0068
strong,rot_off,1.65,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.215,5.420,0.0068,-0.0059
strong,rot_off,1.70,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.247,5.393,0.0072,-0.0068
strong,rot_off,1.75,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.276,5.371,0.0076,-0.0073
strong,rot_off,1.80,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.303,5.353,0.0077,-0.0053
strong,rot_off,1.85,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.332,5.334,0.0068,-0.0050
strong,rot_off,1.90,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.359,5.317,0.0073,-0.0044
strong,rot_off,1.95,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.388,5.303,0.0078,-0.0036
strong,rot_off,2.00,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.411,5.289,0.0061,-0.0041
strong,rot_off,2.05,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.430,5.279,0.0063,-0.0032
strong,rot_off,2.10,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.461,5.264,0.0069,-0.0025
strong,rot_off,2.15,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.482,5.256,0.0067,-0.0024
strong,rot_off,2.20,0.0000,0.0000,0.0000,0.000,0.000,0.000,2.517,5.246,0.0091,-0.0013
